query_id,index_status,query_text,execution_time_ms,status,documents_returned,error_message,timestamp
111,with_index,"db.appliances.aggregate([{$lookup:{from:""""maintenance_logs"""",localField:""""id"""",foreignField:""""appliance_id"""",as:""""maintenance""""}},{$lookup:{from:""""energy_readings"""",let:{app_id:""""$id""""},pipeline:[{$un...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:57Z
112,with_index,"db.energy_readings.aggregate([{$match:{timestamp:{$gte:ISODate(""""2023-01-01"""")",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:57Z
113,with_index,"db.contracts.aggregate([{$lookup:{from:""""houses"""",localField:""""house_id"""",foreignField:""""id"""",as:""""house""""}},{$unwind:""""$house""""},{$lookup:{from:""""tariffs"""",localField:""""tariff_id"""",foreignField:""""id""...",3,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:57Z
114,with_index,"db.energy_readings.aggregate([{$setWindowFields:{partitionBy:""""$house_id"""",sortBy:{timestamp:1},output:{moving_avg:{$avg:""""$total_use_kwh"""",window:{documents:[-3,""""current""""]}},usage_change:{$derivati...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:57Z
115,with_index,"db.energy_readings.aggregate([{match:{timestamp:{ gte :ISODate(""""2023-01-01"""")",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:57Z
116,with_index,"db.houses.aggregate([{lookup:{from:""""users"""",localField:""""owner_id"""",foreignField:""""_id"""",as:""""owner""""}},{ unwind:""""owner""""},{ lookup:{from:""""energy_readings"""",localField:""""_id"""",foreignField:""""house_...",5,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:58Z
117,with_index,"db.contracts.aggregate([{match:{start_date:{ lte :ISODate(""""2023-01-01"""")",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:58Z
118,with_index,"db.appliances.aggregate([{match:{type:{ in:[""""refrigerator"""",""""hvac"""",""""water_heater"""",""""washing_machine""""]}}},{lookup:{from:""""maintenance_logs"""",localField:""""id"""",foreignField:""""appliance_id"""",as:""""m...",5,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:58Z
119,with_index,"db.energy_readings.aggregate([{$match:{timestamp:{$gte:ISODate(""""2023-01-01"""")",3,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:58Z
120,with_index,"db.houses.aggregate([{$lookup:{from:""""users"""",localField:""""user_id"""",foreignField:""""_id"""",as:""""owner""""}},{$unwind:""""$owner""""},{$lookup:{from:""""energy_readings"""",localField:""""_id"""",foreignField:""""house...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:58Z
121,with_index,"db.contracts.aggregate([{$match:{start_date:{$lte:ISODate(""""2023-01-01"""")",3,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:58Z
122,with_index,"db.appliances.aggregate([{$match:{type:{$in:[""""refrigerator"""",""""hvac"""",""""water_heater"""",""""washing_machine""""]}}},{$lookup:{from:""""maintenance_logs"""",localField:""""id"""",foreignField:""""appliance_id"""",as:""...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:58Z
123,with_index,"db.energy_readings.aggregate([{$match:{timestamp:{$gte:ISODate(""""2023-09-01"""")",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:58Z
